ticketid,person,age,seat,team,eventType,date,gate,products
272,Marcy Ruthie,21,A3,null,null,5-Feb,A,"[Hotdog,Book]"
81,Alysa Sara,35,A3,null,null,19-Feb,A,[Book]
158,Gertrude Jezza,20,A3,null,null,11-Feb,A,"[Softdrink,Hotdog]"
455,Pece Ravi,30,A3,null,null,22-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
446,Ty Jenessa,33,A3,null,null,21-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
441,Karter Eppie,32,A3,null,null,20-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
70,Alysa Sara,35,A3,null,null,20-Jan,A,[Softdrink]
135,Byrne Oralie,18,A3,null,null,24-Feb,A,"[Hotdog,Beer]"
46,Gertrude Jezza,20,A3,null,null,24-Jan,A,"[Softdrink,Hotdog]"
391,Carey Dakota,21,A3,null,null,16-Feb,A,"[Softdrink,Hotdog]"
46,Gertrude Jezza,20,A1,null,null,24-Jan,A,"[Softdrink,Hotdog]"
179,Moreen Caren,29,A1,null,null,23-Feb,A,"[Softdrink,Hotdog]"
233,Pece Ravi,30,A1,null,null,2-Feb,A,[Hotdog]
95,Justina Marisa,38,A1,null,null,20-Feb,A,"[Softdrink,Hotdog]"
210,Suz Sophie,27,A1,null,null,10-Feb,A,"[Softdrink,Beer]"
340,Kade Fae,21,A1,null,null,12-Feb,A,[Hotdog]
184,Karter Eppie,32,A1,null,null,7-Feb,A,"[Softdrink,Hotdog]"
69,Connie Nadia,32,A1,null,null,20-Jan,A,[]
35,Mikayla Nevil,24,A1,null,null,23-Jan,A,"[Softdrink,Hotdog,Book]"
330,Connell Sela,37,A1,null,null,11-Feb,A,[]
430,Tad Kathryn,29,A1,null,null,19-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
391,Carey Dakota,21,A1,null,null,16-Feb,A,"[Softdrink,Hotdog]"
146,Melville Brenden,37,A1,null,null,25-Feb,A,[Book]
24,Gertrude Jezza,20,A1,null,null,22-Jan,A,"[Softdrink,Hotdog,Book,Beer]"
416,Humphrey Tamela,20,A1,null,null,18-Feb,A,[]
243,Humphrey Tamela,20,A1,null,null,3-Feb,A,"[Softdrink,Hotdog,Book]"
111,Rebekah Sharlene,40,A1,null,null,21-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
311,Byrne Oralie,18,A1,null,null,9-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
298,Mikayla Nevil,24,A1,null,null,8-Feb,A,"[Hotdog,Beer]"
56,Praise Karina,39,A1,null,null,25-Jan,A,"[Softdrink,Hotdog]"
112,Gertie Cierra,33,A1,null,null,21-Feb,A,"[Book,Beer]"
221,Bethel Romy,32,A1,null,null,1-Feb,A,"[Softdrink,Hotdog]"
158,Gertrude Jezza,20,A1,null,null,11-Feb,A,"[Softdrink,Hotdog]"
11,Kristins Vin,26,A1,null,null,21-Jan,A,"[Softdrink,Book]"
134,Tad Kathryn,29,A1,null,null,24-Feb,A,"[Hotdog,Beer]"
122,Moreen Caren,29,A1,null,null,22-Feb,A,"[Softdrink,Beer]"
256,Melville Brenden,37,A1,null,null,4-Feb,A,"[Hotdog,Beer]"
353,Byrne Oralie,18,A1,null,null,13-Feb,A,[Beer]
289,Humphrey Tamela,20,A1,null,null,7-Feb,A,"[Softdrink,Hotdog]"
81,Alysa Sara,35,A1,null,null,19-Feb,A,[Book]
454,Ibrahim Gerarda,29,A1,null,null,22-Feb,A,[Softdrink]
272,Marcy Ruthie,21,A1,null,null,5-Feb,A,"[Hotdog,Book]"
277,Humphrey Tamela,20,A1,null,null,6-Feb,A,"[Hotdog,Book]"
0,Roseanne Winfield,23,A1,null,null,19-Jan,A,"[Softdrink,Hotdog]"
366,Dennis Roseanne,38,A1,null,null,14-Feb,A,[Beer]
440,Jeane Rosalie,32,A1,null,null,20-Feb,A,[]
171,Lexi Kester,32,A1,null,null,23-Feb,A,[Softdrink]
377,Karter Eppie,32,A1,null,null,15-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
323,Praise Karina,39,A1,null,null,10-Feb,A,"[Softdrink,Book,Beer]"
196,Baxter Georgene,24,A1,null,null,5-Feb,A,"[Softdrink,Hotdog,Beer]"
403,Rodger Dorine,21,A1,null,null,17-Feb,A,"[Softdrink,Book]"
518,Oswin Tillie,24,A8,C,Eject,25-Feb,A,[Beer]
187,Julian Monday,21,A8,null,null,7-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
407,Gertrude Jezza,20,A8,null,null,17-Feb,A,[Softdrink]
48,Lexi Kester,32,A8,null,null,24-Jan,A,"[Softdrink,Beer]"
224,Ren Aron,37,A8,null,null,1-Feb,A,[Hotdog]
279,Suz Sophie,27,A8,null,null,6-Feb,A,[Softdrink]
480,Sanjana Pooja,21,A8,C,Eject,25-Jan,A,[Beer]
174,Sinclair Blythe,30,A8,null,null,23-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
124,Debbi Carley,35,A8,null,null,22-Feb,A,"[Softdrink,Hotdog,Beer]"
300,Ibrahim Gerarda,29,A8,null,null,8-Feb,A,"[Softdrink,Hotdog,Beer]"
325,Charis June,32,A8,null,null,10-Feb,A,"[Softdrink,Hotdog]"
101,Rebekah Sharlene,40,A8,null,null,20-Feb,A,[Softdrink]
160,Mikayla Nevil,24,A8,null,null,11-Feb,A,"[Softdrink,Hotdog]"
136,Rebekah Sharlene,40,A8,null,null,24-Feb,A,[Beer]
26,Mikayla Nevil,24,A8,null,null,22-Jan,A,"[Softdrink,Hotdog,Beer]"
342,Baxter Georgene,24,A8,null,null,12-Feb,A,"[Softdrink,Hotdog]"
97,Melville Brenden,37,A8,null,null,20-Feb,A,"[Hotdog,Book]"
419,Ferdinand Dwain,34,A8,null,null,18-Feb,A,"[Softdrink,Beer]"
368,Karter Eppie,32,A8,null,null,14-Feb,A,"[Softdrink,Hotdog,Book]"
510,Kortney Gord,20,A8,A,Knife,19-Feb,A,[Beer]
71,Dennis Roseanne,38,A8,null,null,20-Jan,A,"[Hotdog,Book]"
37,Debbi Carley,35,A8,null,null,23-Jan,A,"[Softdrink,Beer]"
379,Gertrude Jezza,20,A8,null,null,15-Feb,A,[]
290,Pece Ravi,30,A8,null,null,7-Feb,A,"[Softdrink,Hotdog,Book]"
333,Baxter Georgene,24,A8,null,null,11-Feb,A,"[Hotdog,Beer]"
258,Praise Karina,39,A8,null,null,4-Feb,A,[]
314,Roseanne Winfield,23,A8,null,null,9-Feb,A,"[Softdrink,Hotdog]"
274,Roseanne Winfield,23,A8,null,null,5-Feb,A,"[Hotdog,Book]"
472,Kortney Gord,20,A8,A,Knife,19-Jan,A,[Beer]
212,Bethel Romy,32,A8,null,null,10-Feb,A,"[Softdrink,Beer]"
393,Suz Sophie,27,A8,null,null,16-Feb,A,"[Softdrink,Hotdog,Book]"
113,Connell Sela,37,A8,null,null,21-Feb,A,[Softdrink]
13,Connell Sela,37,A8,null,null,21-Jan,A,"[Softdrink,Hotdog,Beer]"
200,Lorraine Alyse,34,A8,null,null,5-Feb,A,"[Softdrink,Hotdog,Book]"
294,Lorraine Alyse,34,A20,null,null,7-Feb,A,[Softdrink]
361,Melville Brenden,37,A20,null,null,13-Feb,A,"[Softdrink,Hotdog]"
436,Baxter Georgene,24,A20,null,null,19-Feb,A,"[Softdrink,Hotdog,Book]"
303,Bethel Romy,32,A20,null,null,8-Feb,A,"[Book,Beer]"
458,Ferdinand Dwain,34,A20,null,null,22-Feb,A,"[Softdrink,Hotdog]"
228,Ogden Terrance,26,A20,null,null,1-Feb,A,"[Hotdog,Beer]"
117,Byrne Oralie,18,A20,null,null,21-Feb,A,"[Softdrink,Hotdog,Beer]"
73,Connell Sela,37,A20,null,null,20-Jan,A,"[Book,Beer]"
318,Carey Dakota,21,A20,null,null,9-Feb,A,[Hotdog]
139,Connell Sela,37,A20,null,null,24-Feb,A,"[Softdrink,Book]"
50,Baxter Georgene,24,A20,null,null,24-Jan,A,"[Hotdog,Beer]"
398,Lexi Kester,32,A20,null,null,16-Feb,A,[]
152,Dennis Roseanne,38,A20,null,null,25-Feb,A,"[Hotdog,Beer]"
282,Carey Dakota,21,A20,null,null,6-Feb,A,"[Softdrink,Hotdog]"
240,Ty Jenessa,33,A20,null,null,2-Feb,A,"[Softdrink,Hotdog]"
385,Marcy Ruthie,21,A20,null,null,15-Feb,A,"[Softdrink,Hotdog]"
85,Crew Susanna,20,A20,null,null,19-Feb,A,"[Book,Beer]"
19,Gertie Cierra,33,A20,null,null,21-Jan,A,"[Hotdog,Book]"
336,Dennis Roseanne,38,A20,null,null,11-Feb,A,"[Softdrink,Book,Beer]"
164,Lorraine Alyse,34,A20,null,null,11-Feb,A,"[Softdrink,Hotdog]"
29,Debbi Carley,35,A20,null,null,22-Jan,A,"[Softdrink,Hotdog,Beer]"
328,Carey Dakota,21,A20,null,null,10-Feb,A,[Book]
467,Justina Marisa,38,A20,null,null,23-Feb,A,"[Softdrink,Hotdog,Beer]"
371,Roseanne Winfield,23,A20,null,null,14-Feb,A,[Softdrink]
249,Praise Karina,39,A20,null,null,3-Feb,A,[Softdrink]
206,Karter Eppie,32,A20,null,null,5-Feb,A,"[Softdrink,Book]"
179,Moreen Caren,29,A20,null,null,23-Feb,A,"[Softdrink,Hotdog]"
41,Melville Brenden,37,A20,null,null,23-Jan,A,[Softdrink]
216,Gertie Cierra,33,A20,null,null,10-Feb,A,"[Softdrink,Hotdog,Beer]"
422,Ty Jenessa,33,A20,null,null,18-Feb,A,[Softdrink]
97,Melville Brenden,37,A20,null,null,20-Feb,A,"[Hotdog,Book]"
126,Justina Marisa,38,A20,null,null,22-Feb,A,"[Hotdog,Book,Beer]"
4,Bethel Romy,32,A20,null,null,19-Jan,A,[Softdrink]
62,Sinclair Blythe,30,A20,null,null,25-Jan,A,"[Softdrink,Hotdog,Book,Beer]"
191,Crew Susanna,20,A20,null,null,7-Feb,A,"[Softdrink,Hotdog,Book]"
412,Melville Brenden,37,A20,null,null,17-Feb,A,"[Hotdog,Book,Beer]"
263,Ferdinand Dwain,34,A20,null,null,4-Feb,A,[Hotdog]
348,Ferdinand Dwain,34,A20,null,null,12-Feb,A,"[Softdrink,Hotdog,Book]"
276,Byrne Oralie,18,A20,null,null,5-Feb,A,"[Hotdog,Book,Beer]"
103,Moreen Caren,29,A20,null,null,20-Feb,A,"[Softdrink,Hotdog]"
234,Rebekah Sharlene,40,A6,null,null,2-Feb,A,"[Softdrink,Book]"
58,Rebekah Sharlene,40,A6,null,null,25-Jan,A,"[Softdrink,Hotdog]"
367,Byrne Oralie,18,A6,null,null,14-Feb,A,[Hotdog]
341,Kristins Vin,26,A6,null,null,12-Feb,A,"[Softdrink,Hotdog,Book]"
71,Dennis Roseanne,38,A6,null,null,20-Jan,A,"[Hotdog,Book]"
25,Rebekah Sharlene,40,A6,null,null,22-Jan,A,"[Hotdog,Book]"
516,Crispin Ralf,18,A6,B,Warning,24-Feb,A,"[Softdrink,Beer]"
478,Crispin Ralf,18,A6,B,Warning,24-Jan,A,"[Hotdog,Book,Beer]"
290,Pece Ravi,30,A6,null,null,7-Feb,A,"[Softdrink,Hotdog,Book]"
354,Moreen Caren,29,A6,null,null,13-Feb,A,[Softdrink]
476,Kortney Gord,20,A6,B,Warning,23-Jan,A,"[Hotdog,Beer]"
405,Roseanne Winfield,23,A6,null,null,17-Feb,A,"[Softdrink,Hotdog,Beer]"
101,Rebekah Sharlene,40,A6,null,null,20-Feb,A,[Softdrink]
112,Gertie Cierra,33,A6,null,null,21-Feb,A,"[Book,Beer]"
299,Ogden Terrance,26,A6,null,null,8-Feb,A,[Softdrink]
509,Crispin Ralf,18,A6,A,Warning,19-Feb,A,[Beer]
173,Charis June,32,A6,null,null,23-Feb,A,"[Softdrink,Hotdog]"
198,Gertrude Jezza,20,A6,null,null,5-Feb,A,"[Hotdog,Book]"
392,Charis June,32,A6,null,null,16-Feb,A,"[Book,Beer]"
147,Byrne Oralie,18,A6,null,null,25-Feb,A,[Hotdog]
313,Rodger Dorine,21,A6,null,null,9-Feb,A,"[Softdrink,Beer]"
418,Ren Aron,37,A6,null,null,18-Feb,A,"[Softdrink,Hotdog]"
471,Crispin Ralf,18,A6,A,Warning,19-Jan,A,[Beer]
223,Gertrude Jezza,20,A6,null,null,1-Feb,A,"[Softdrink,Hotdog,Beer]"
212,Bethel Romy,32,A6,null,null,10-Feb,A,"[Softdrink,Beer]"
446,Ty Jenessa,33,A6,null,null,21-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
258,Praise Karina,39,A6,null,null,4-Feb,A,[]
123,Tad Kathryn,29,A6,null,null,22-Feb,A,[Beer]
96,Debbi Carley,35,A6,null,null,20-Feb,A,"[Hotdog,Book,Beer]"
186,Ty Jenessa,33,A6,null,null,7-Feb,A,"[Softdrink,Hotdog]"
514,Kortney Gord,20,A6,B,Warning,11-Feb,A,[Beer]
210,Suz Sophie,27,A2,null,null,10-Feb,A,"[Softdrink,Beer]"
440,Jeane Rosalie,32,A2,null,null,20-Feb,A,[]
35,Mikayla Nevil,24,A2,null,null,23-Jan,A,"[Softdrink,Hotdog,Book]"
69,Connie Nadia,32,A2,null,null,20-Jan,A,[]
312,Sinclair Blythe,30,A2,null,null,9-Feb,A,"[Softdrink,Hotdog,Book]"
256,Melville Brenden,37,A2,null,null,4-Feb,A,"[Hotdog,Beer]"
391,Carey Dakota,21,A2,null,null,16-Feb,A,"[Softdrink,Hotdog]"
403,Rodger Dorine,21,A2,null,null,17-Feb,A,"[Softdrink,Book]"
366,Dennis Roseanne,38,A2,null,null,14-Feb,A,[Beer]
46,Gertrude Jezza,20,A2,null,null,24-Jan,A,"[Softdrink,Hotdog]"
445,Ibrahim Gerarda,29,A2,null,null,21-Feb,A,"[Softdrink,Book]"
289,Humphrey Tamela,20,A2,null,null,7-Feb,A,"[Softdrink,Hotdog]"
378,Pece Ravi,30,A2,null,null,15-Feb,A,"[Softdrink,Hotdog,Beer]"
278,Dennis Roseanne,38,A2,null,null,6-Feb,A,"[Softdrink,Hotdog,Book]"
272,Marcy Ruthie,21,A2,null,null,5-Feb,A,"[Hotdog,Book]"
430,Tad Kathryn,29,A2,null,null,19-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
134,Tad Kathryn,29,A2,null,null,24-Feb,A,"[Hotdog,Beer]"
179,Moreen Caren,29,A2,null,null,23-Feb,A,"[Softdrink,Hotdog]"
0,Roseanne Winfield,23,A2,null,null,19-Jan,A,"[Softdrink,Hotdog]"
197,Connie Nadia,32,A2,null,null,5-Feb,A,"[Hotdog,Beer]"
158,Gertrude Jezza,20,A2,null,null,11-Feb,A,"[Softdrink,Hotdog]"
122,Moreen Caren,29,A2,null,null,22-Feb,A,"[Softdrink,Beer]"
221,Bethel Romy,32,A2,null,null,1-Feb,A,"[Softdrink,Hotdog]"
416,Humphrey Tamela,20,A2,null,null,18-Feb,A,[]
340,Kade Fae,21,A2,null,null,12-Feb,A,[Hotdog]
323,Praise Karina,39,A2,null,null,10-Feb,A,"[Softdrink,Book,Beer]"
244,Debbi Carley,35,A2,null,null,3-Feb,A,"[Softdrink,Hotdog]"
146,Melville Brenden,37,A2,null,null,25-Feb,A,[Book]
172,Mikayla Nevil,24,A2,null,null,23-Feb,A,"[Softdrink,Hotdog]"
24,Gertrude Jezza,20,A2,null,null,22-Jan,A,"[Softdrink,Hotdog,Book,Beer]"
298,Mikayla Nevil,24,A2,null,null,8-Feb,A,"[Hotdog,Beer]"
11,Kristins Vin,26,A2,null,null,21-Jan,A,"[Softdrink,Book]"
233,Pece Ravi,30,A2,null,null,2-Feb,A,[Hotdog]
331,Debbi Carley,35,A2,null,null,11-Feb,A,"[Hotdog,Book,Beer]"
185,Roseanne Winfield,23,A2,null,null,7-Feb,A,"[Softdrink,Hotdog,Beer]"
353,Byrne Oralie,18,A2,null,null,13-Feb,A,[Beer]
111,Rebekah Sharlene,40,A2,null,null,21-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
455,Pece Ravi,30,A2,null,null,22-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
95,Justina Marisa,38,A2,null,null,20-Feb,A,"[Softdrink,Hotdog]"
56,Praise Karina,39,A2,null,null,25-Jan,A,"[Softdrink,Hotdog]"
81,Alysa Sara,35,A2,null,null,19-Feb,A,[Book]
204,Suz Sophie,27,A15,null,null,5-Feb,A,[Beer]
357,Crew Susanna,20,A15,null,null,13-Feb,A,[Hotdog]
227,Charis June,32,A15,null,null,1-Feb,A,"[Softdrink,Beer]"
100,Gertrude Jezza,20,A15,null,null,20-Feb,A,"[Softdrink,Book]"
84,Kristins Vin,26,A15,null,null,19-Feb,A,"[Hotdog,Book,Beer]"
49,Rebekah Sharlene,40,A15,null,null,24-Jan,A,[Hotdog]
433,Dennis Roseanne,38,A15,null,null,19-Feb,A,"[Softdrink,Hotdog]"
449,Sinclair Blythe,30,A15,null,null,21-Feb,A,"[Softdrink,Hotdog,Beer]"
345,Moreen Caren,29,A15,null,null,12-Feb,A,[Softdrink]
72,Charis June,32,A15,null,null,20-Jan,A,"[Softdrink,Hotdog]"
317,Jeane Rosalie,32,A15,null,null,9-Feb,A,"[Hotdog,Beer]"
281,Gertie Cierra,33,A15,null,null,6-Feb,A,"[Softdrink,Hotdog]"
18,Crew Susanna,20,A15,null,null,21-Jan,A,[Beer]
409,Crew Susanna,20,A15,null,null,17-Feb,A,[Hotdog]
247,Sinclair Blythe,30,A15,null,null,3-Feb,A,"[Softdrink,Hotdog]"
27,Kristins Vin,26,A15,null,null,22-Jan,A,[Softdrink]
209,Ferdinand Dwain,34,A15,null,null,5-Feb,A,"[Book,Beer]"
189,Rodger Dorine,21,A15,null,null,7-Feb,A,"[Hotdog,Beer]"
60,Suz Sophie,27,A15,null,null,25-Jan,A,"[Softdrink,Hotdog]"
421,Melville Brenden,37,A15,null,null,18-Feb,A,"[Softdrink,Hotdog]"
160,Mikayla Nevil,24,A15,null,null,11-Feb,A,"[Softdrink,Hotdog]"
211,Lexi Kester,32,A15,null,null,10-Feb,A,[Softdrink]
137,Melville Brenden,37,A15,null,null,24-Feb,A,"[Softdrink,Beer]"
465,Dennis Roseanne,38,A15,null,null,23-Feb,A,"[Softdrink,Hotdog]"
39,Ferdinand Dwain,34,A15,null,null,23-Jan,A,"[Softdrink,Hotdog]"
115,Gertrude Jezza,20,A15,null,null,21-Feb,A,"[Softdrink,Hotdog,Book]"
215,Baxter Georgene,24,A15,null,null,10-Feb,A,[]
292,Sinclair Blythe,30,A15,null,null,7-Feb,A,"[Softdrink,Hotdog]"
163,Jeane Rosalie,32,A15,null,null,11-Feb,A,[Book]
150,Baxter Georgene,24,A15,null,null,25-Feb,A,"[Book,Beer]"
457,Byrne Oralie,18,A15,null,null,22-Feb,A,"[Hotdog,Book,Beer]"
302,Marcy Ruthie,21,A15,null,null,8-Feb,A,[Softdrink]
238,Lorraine Alyse,34,A15,null,null,2-Feb,A,"[Softdrink,Hotdog]"
261,Alysa Sara,35,A15,null,null,4-Feb,A,"[Softdrink,Hotdog,Book]"
382,Carissa Alexandria,19,A15,null,null,15-Feb,A,"[Softdrink,Beer]"
370,Justina Marisa,38,A15,null,null,14-Feb,A,"[Softdrink,Hotdog]"
395,Byrne Oralie,18,A15,null,null,16-Feb,A,"[Softdrink,Hotdog]"
176,Kade Fae,21,A15,null,null,23-Feb,A,"[Softdrink,Hotdog,Beer]"
107,Kristins Vin,26,A15,null,null,20-Feb,A,[Softdrink]
443,Baxter Georgene,24,A13,null,null,20-Feb,A,[]
176,Kade Fae,21,A13,null,null,23-Feb,A,"[Softdrink,Hotdog,Beer]"
301,Julian Monday,21,A13,null,null,8-Feb,A,"[Softdrink,Hotdog,Beer]"
149,Lexi Kester,32,A13,null,null,25-Feb,A,"[Softdrink,Book,Beer]"
246,Roseanne Winfield,23,A13,null,null,3-Feb,A,[Softdrink]
343,Karter Eppie,32,A13,null,null,12-Feb,A,"[Softdrink,Hotdog]"
382,Carissa Alexandria,19,A13,null,null,15-Feb,A,"[Softdrink,Beer]"
136,Rebekah Sharlene,40,A13,null,null,24-Feb,A,[Beer]
280,Mikayla Nevil,24,A13,null,null,6-Feb,A,"[Softdrink,Hotdog]"
126,Justina Marisa,38,A13,null,null,22-Feb,A,"[Hotdog,Book,Beer]"
115,Gertrude Jezza,20,A13,null,null,21-Feb,A,"[Softdrink,Hotdog,Book]"
214,Ogden Terrance,26,A13,null,null,10-Feb,A,"[Softdrink,Beer]"
316,Lexi Kester,32,A13,null,null,9-Feb,A,"[Hotdog,Book]"
162,Praise Karina,39,A13,null,null,11-Feb,A,"[Softdrink,Beer]"
59,Byrne Oralie,18,A13,null,null,25-Jan,A,"[Softdrink,Hotdog]"
409,Crew Susanna,20,A13,null,null,17-Feb,A,[Hotdog]
190,Ibrahim Gerarda,29,A13,null,null,7-Feb,A,"[Softdrink,Hotdog,Beer]"
275,Humphrey Tamela,20,A13,null,null,5-Feb,A,[Softdrink]
160,Mikayla Nevil,24,A13,null,null,11-Feb,A,"[Softdrink,Hotdog]"
238,Lorraine Alyse,34,A13,null,null,2-Feb,A,"[Softdrink,Hotdog]"
39,Ferdinand Dwain,34,A13,null,null,23-Jan,A,"[Softdrink,Hotdog]"
189,Rodger Dorine,21,A13,null,null,7-Feb,A,"[Hotdog,Beer]"
2,Alysa Sara,35,A13,null,null,19-Jan,A,"[Hotdog,Book]"
395,Byrne Oralie,18,A13,null,null,16-Feb,A,"[Softdrink,Hotdog]"
260,Lexi Kester,32,A13,null,null,4-Feb,A,"[Softdrink,Hotdog,Book]"
369,Rebekah Sharlene,40,A13,null,null,14-Feb,A,[Hotdog]
226,Alysa Sara,35,A13,null,null,1-Feb,A,"[Softdrink,Beer]"
211,Lexi Kester,32,A13,null,null,10-Feb,A,[Softdrink]
448,Carissa Alexandria,19,A13,null,null,21-Feb,A,[]
421,Melville Brenden,37,A13,null,null,18-Feb,A,"[Softdrink,Hotdog]"
84,Kristins Vin,26,A13,null,null,19-Feb,A,"[Hotdog,Book,Beer]"
