ticketid,person,age,seat,team,eventType,date,gate,products,target,Softdrink,Beer,Hotdog,Book
138,Bethel Romy,32,A18,,,24-Feb,A,"[Softdrink,Book,Beer]",False,True,True,False,True
73,Connell Sela,37,A18,,,20-Jan,A,"[Book,Beer]",False,False,True,False,True
40,Pece Ravi,30,A18,,,23-Jan,A,"[Hotdog,Book,Beer]",False,False,True,True,True
101,Rebekah Sharlene,40,A18,,,20-Feb,A,[Softdrink],False,True,False,False,False
248,Rebekah Sharlene,40,A18,,,3-Feb,A,[Softdrink],False,True,False,False,False
3,Connell Sela,37,A18,,,19-Jan,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
116,Ogden Terrance,26,A18,,,21-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
50,Baxter Georgene,24,A18,,,24-Jan,A,"[Hotdog,Beer]",False,False,True,True,False
12,Lexi Kester,32,A3,,,21-Jan,A,[Book],False,False,False,False,True
221,Bethel Romy,32,A3,,,1-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
298,Mikayla Nevil,24,A3,,,8-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
197,Connie Nadia,32,A3,,,5-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
244,Debbi Carley,35,A3,,,3-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
353,Byrne Oralie,18,A3,,,13-Feb,A,[Beer],False,False,True,False,False
211,Lexi Kester,32,A3,,,10-Feb,A,[Softdrink],False,True,False,False,False
25,Rebekah Sharlene,40,A3,,,22-Jan,A,"[Hotdog,Book]",False,False,False,True,True
366,Dennis Roseanne,38,A3,,,14-Feb,A,[Beer],False,False,True,False,False
233,Pece Ravi,30,A3,,,2-Feb,A,[Hotdog],False,False,False,True,False
312,Sinclair Blythe,30,A3,,,9-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
278,Dennis Roseanne,38,A3,,,6-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
122,Moreen Caren,29,A3,,,22-Feb,A,"[Softdrink,Beer]",False,True,True,False,False
323,Praise Karina,39,A3,,,10-Feb,A,"[Softdrink,Book,Beer]",False,True,True,False,True
0,Roseanne Winfield,23,A3,,,19-Jan,A,"[Softdrink,Hotdog]",False,True,False,True,False
179,Moreen Caren,29,A3,,,23-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
403,Rodger Dorine,21,A3,,,17-Feb,A,"[Softdrink,Book]",False,True,False,False,True
111,Rebekah Sharlene,40,A3,,,21-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
185,Roseanne Winfield,23,A3,,,7-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
289,Humphrey Tamela,20,A3,,,7-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
341,Kristins Vin,26,A3,,,12-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
416,Humphrey Tamela,20,A3,,,18-Feb,A,[],False,False,False,False,False
257,Roseanne Winfield,23,A3,,,4-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
431,Praise Karina,39,A3,,,19-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
56,Praise Karina,39,A3,,,25-Jan,A,"[Softdrink,Hotdog]",False,True,False,True,False
378,Pece Ravi,30,A3,,,15-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
36,Charis June,32,A3,,,23-Jan,A,"[Softdrink,Beer]",False,True,True,False,False
95,Justina Marisa,38,A3,,,20-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
272,Marcy Ruthie,21,A3,,,5-Feb,A,"[Hotdog,Book]",False,False,False,True,True
81,Alysa Sara,35,A3,,,19-Feb,A,[Book],False,False,False,False,True
158,Gertrude Jezza,20,A3,,,11-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
455,Pece Ravi,30,A3,,,22-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
446,Ty Jenessa,33,A3,,,21-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
441,Karter Eppie,32,A3,,,20-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
70,Alysa Sara,35,A3,,,20-Jan,A,[Softdrink],False,True,False,False,False
135,Byrne Oralie,18,A3,,,24-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
46,Gertrude Jezza,20,A3,,,24-Jan,A,"[Softdrink,Hotdog]",False,True,False,True,False
391,Carey Dakota,21,A3,,,16-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
46,Gertrude Jezza,20,A1,,,24-Jan,A,"[Softdrink,Hotdog]",False,True,False,True,False
179,Moreen Caren,29,A1,,,23-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
233,Pece Ravi,30,A1,,,2-Feb,A,[Hotdog],False,False,False,True,False
95,Justina Marisa,38,A1,,,20-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
210,Suz Sophie,27,A1,,,10-Feb,A,"[Softdrink,Beer]",False,True,True,False,False
340,Kade Fae,21,A1,,,12-Feb,A,[Hotdog],False,False,False,True,False
184,Karter Eppie,32,A1,,,7-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
69,Connie Nadia,32,A1,,,20-Jan,A,[],False,False,False,False,False
35,Mikayla Nevil,24,A1,,,23-Jan,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
330,Connell Sela,37,A1,,,11-Feb,A,[],False,False,False,False,False
430,Tad Kathryn,29,A1,,,19-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
391,Carey Dakota,21,A1,,,16-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
146,Melville Brenden,37,A1,,,25-Feb,A,[Book],False,False,False,False,True
24,Gertrude Jezza,20,A1,,,22-Jan,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
416,Humphrey Tamela,20,A1,,,18-Feb,A,[],False,False,False,False,False
243,Humphrey Tamela,20,A1,,,3-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
111,Rebekah Sharlene,40,A1,,,21-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
311,Byrne Oralie,18,A1,,,9-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
298,Mikayla Nevil,24,A1,,,8-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
56,Praise Karina,39,A1,,,25-Jan,A,"[Softdrink,Hotdog]",False,True,False,True,False
112,Gertie Cierra,33,A1,,,21-Feb,A,"[Book,Beer]",False,False,True,False,True
221,Bethel Romy,32,A1,,,1-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
158,Gertrude Jezza,20,A1,,,11-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
11,Kristins Vin,26,A1,,,21-Jan,A,"[Softdrink,Book]",False,True,False,False,True
134,Tad Kathryn,29,A1,,,24-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
122,Moreen Caren,29,A1,,,22-Feb,A,"[Softdrink,Beer]",False,True,True,False,False
256,Melville Brenden,37,A1,,,4-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
353,Byrne Oralie,18,A1,,,13-Feb,A,[Beer],False,False,True,False,False
289,Humphrey Tamela,20,A1,,,7-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
81,Alysa Sara,35,A1,,,19-Feb,A,[Book],False,False,False,False,True
454,Ibrahim Gerarda,29,A1,,,22-Feb,A,[Softdrink],False,True,False,False,False
272,Marcy Ruthie,21,A1,,,5-Feb,A,"[Hotdog,Book]",False,False,False,True,True
277,Humphrey Tamela,20,A1,,,6-Feb,A,"[Hotdog,Book]",False,False,False,True,True
0,Roseanne Winfield,23,A1,,,19-Jan,A,"[Softdrink,Hotdog]",False,True,False,True,False
366,Dennis Roseanne,38,A1,,,14-Feb,A,[Beer],False,False,True,False,False
440,Jeane Rosalie,32,A1,,,20-Feb,A,[],False,False,False,False,False
171,Lexi Kester,32,A1,,,23-Feb,A,[Softdrink],False,True,False,False,False
377,Karter Eppie,32,A1,,,15-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
323,Praise Karina,39,A1,,,10-Feb,A,"[Softdrink,Book,Beer]",False,True,True,False,True
196,Baxter Georgene,24,A1,,,5-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
403,Rodger Dorine,21,A1,,,17-Feb,A,"[Softdrink,Book]",False,True,False,False,True
518,Oswin Tillie,24,A8,C,Eject,25-Feb,A,[Beer],True,False,True,False,False
187,Julian Monday,21,A8,,,7-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
407,Gertrude Jezza,20,A8,,,17-Feb,A,[Softdrink],False,True,False,False,False
48,Lexi Kester,32,A8,,,24-Jan,A,"[Softdrink,Beer]",False,True,True,False,False
224,Ren Aron,37,A8,,,1-Feb,A,[Hotdog],False,False,False,True,False
279,Suz Sophie,27,A8,,,6-Feb,A,[Softdrink],False,True,False,False,False
480,Sanjana Pooja,21,A8,C,Eject,25-Jan,A,[Beer],True,False,True,False,False
174,Sinclair Blythe,30,A8,,,23-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
124,Debbi Carley,35,A8,,,22-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
300,Ibrahim Gerarda,29,A8,,,8-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
325,Charis June,32,A8,,,10-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
101,Rebekah Sharlene,40,A8,,,20-Feb,A,[Softdrink],False,True,False,False,False
160,Mikayla Nevil,24,A8,,,11-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
136,Rebekah Sharlene,40,A8,,,24-Feb,A,[Beer],False,False,True,False,False
26,Mikayla Nevil,24,A8,,,22-Jan,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
342,Baxter Georgene,24,A8,,,12-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
97,Melville Brenden,37,A8,,,20-Feb,A,"[Hotdog,Book]",False,False,False,True,True
419,Ferdinand Dwain,34,A8,,,18-Feb,A,"[Softdrink,Beer]",False,True,True,False,False
368,Karter Eppie,32,A8,,,14-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
510,Kortney Gord,20,A8,A,Knife,19-Feb,A,[Beer],True,False,True,False,False
71,Dennis Roseanne,38,A8,,,20-Jan,A,"[Hotdog,Book]",False,False,False,True,True
37,Debbi Carley,35,A8,,,23-Jan,A,"[Softdrink,Beer]",False,True,True,False,False
379,Gertrude Jezza,20,A8,,,15-Feb,A,[],False,False,False,False,False
290,Pece Ravi,30,A8,,,7-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
333,Baxter Georgene,24,A8,,,11-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
258,Praise Karina,39,A8,,,4-Feb,A,[],False,False,False,False,False
314,Roseanne Winfield,23,A8,,,9-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
274,Roseanne Winfield,23,A8,,,5-Feb,A,"[Hotdog,Book]",False,False,False,True,True
472,Kortney Gord,20,A8,A,Knife,19-Jan,A,[Beer],True,False,True,False,False
212,Bethel Romy,32,A8,,,10-Feb,A,"[Softdrink,Beer]",False,True,True,False,False
393,Suz Sophie,27,A8,,,16-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
113,Connell Sela,37,A8,,,21-Feb,A,[Softdrink],False,True,False,False,False
13,Connell Sela,37,A8,,,21-Jan,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
200,Lorraine Alyse,34,A8,,,5-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
294,Lorraine Alyse,34,A20,,,7-Feb,A,[Softdrink],False,True,False,False,False
361,Melville Brenden,37,A20,,,13-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
436,Baxter Georgene,24,A20,,,19-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
303,Bethel Romy,32,A20,,,8-Feb,A,"[Book,Beer]",False,False,True,False,True
458,Ferdinand Dwain,34,A20,,,22-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
228,Ogden Terrance,26,A20,,,1-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
117,Byrne Oralie,18,A20,,,21-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
73,Connell Sela,37,A20,,,20-Jan,A,"[Book,Beer]",False,False,True,False,True
318,Carey Dakota,21,A20,,,9-Feb,A,[Hotdog],False,False,False,True,False
139,Connell Sela,37,A20,,,24-Feb,A,"[Softdrink,Book]",False,True,False,False,True
50,Baxter Georgene,24,A20,,,24-Jan,A,"[Hotdog,Beer]",False,False,True,True,False
398,Lexi Kester,32,A20,,,16-Feb,A,[],False,False,False,False,False
152,Dennis Roseanne,38,A20,,,25-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
282,Carey Dakota,21,A20,,,6-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
240,Ty Jenessa,33,A20,,,2-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
385,Marcy Ruthie,21,A20,,,15-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
85,Crew Susanna,20,A20,,,19-Feb,A,"[Book,Beer]",False,False,True,False,True
19,Gertie Cierra,33,A20,,,21-Jan,A,"[Hotdog,Book]",False,False,False,True,True
336,Dennis Roseanne,38,A20,,,11-Feb,A,"[Softdrink,Book,Beer]",False,True,True,False,True
164,Lorraine Alyse,34,A20,,,11-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
29,Debbi Carley,35,A20,,,22-Jan,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
328,Carey Dakota,21,A20,,,10-Feb,A,[Book],False,False,False,False,True
467,Justina Marisa,38,A20,,,23-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
371,Roseanne Winfield,23,A20,,,14-Feb,A,[Softdrink],False,True,False,False,False
249,Praise Karina,39,A20,,,3-Feb,A,[Softdrink],False,True,False,False,False
206,Karter Eppie,32,A20,,,5-Feb,A,"[Softdrink,Book]",False,True,False,False,True
179,Moreen Caren,29,A20,,,23-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
41,Melville Brenden,37,A20,,,23-Jan,A,[Softdrink],False,True,False,False,False
216,Gertie Cierra,33,A20,,,10-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
422,Ty Jenessa,33,A20,,,18-Feb,A,[Softdrink],False,True,False,False,False
97,Melville Brenden,37,A20,,,20-Feb,A,"[Hotdog,Book]",False,False,False,True,True
126,Justina Marisa,38,A20,,,22-Feb,A,"[Hotdog,Book,Beer]",False,False,True,True,True
4,Bethel Romy,32,A20,,,19-Jan,A,[Softdrink],False,True,False,False,False
62,Sinclair Blythe,30,A20,,,25-Jan,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
191,Crew Susanna,20,A20,,,7-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
412,Melville Brenden,37,A20,,,17-Feb,A,"[Hotdog,Book,Beer]",False,False,True,True,True
263,Ferdinand Dwain,34,A20,,,4-Feb,A,[Hotdog],False,False,False,True,False
348,Ferdinand Dwain,34,A20,,,12-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
276,Byrne Oralie,18,A20,,,5-Feb,A,"[Hotdog,Book,Beer]",False,False,True,True,True
103,Moreen Caren,29,A20,,,20-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
234,Rebekah Sharlene,40,A6,,,2-Feb,A,"[Softdrink,Book]",False,True,False,False,True
58,Rebekah Sharlene,40,A6,,,25-Jan,A,"[Softdrink,Hotdog]",False,True,False,True,False
367,Byrne Oralie,18,A6,,,14-Feb,A,[Hotdog],False,False,False,True,False
341,Kristins Vin,26,A6,,,12-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
71,Dennis Roseanne,38,A6,,,20-Jan,A,"[Hotdog,Book]",False,False,False,True,True
25,Rebekah Sharlene,40,A6,,,22-Jan,A,"[Hotdog,Book]",False,False,False,True,True
516,Crispin Ralf,18,A6,B,Warning,24-Feb,A,"[Softdrink,Beer]",True,True,True,False,False
478,Crispin Ralf,18,A6,B,Warning,24-Jan,A,"[Hotdog,Book,Beer]",True,False,True,True,True
290,Pece Ravi,30,A6,,,7-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
354,Moreen Caren,29,A6,,,13-Feb,A,[Softdrink],False,True,False,False,False
476,Kortney Gord,20,A6,B,Warning,23-Jan,A,"[Hotdog,Beer]",True,False,True,True,False
405,Roseanne Winfield,23,A6,,,17-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
101,Rebekah Sharlene,40,A6,,,20-Feb,A,[Softdrink],False,True,False,False,False
112,Gertie Cierra,33,A6,,,21-Feb,A,"[Book,Beer]",False,False,True,False,True
299,Ogden Terrance,26,A6,,,8-Feb,A,[Softdrink],False,True,False,False,False
509,Crispin Ralf,18,A6,A,Warning,19-Feb,A,[Beer],True,False,True,False,False
173,Charis June,32,A6,,,23-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
198,Gertrude Jezza,20,A6,,,5-Feb,A,"[Hotdog,Book]",False,False,False,True,True
392,Charis June,32,A6,,,16-Feb,A,"[Book,Beer]",False,False,True,False,True
147,Byrne Oralie,18,A6,,,25-Feb,A,[Hotdog],False,False,False,True,False
313,Rodger Dorine,21,A6,,,9-Feb,A,"[Softdrink,Beer]",False,True,True,False,False
418,Ren Aron,37,A6,,,18-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
471,Crispin Ralf,18,A6,A,Warning,19-Jan,A,[Beer],True,False,True,False,False
223,Gertrude Jezza,20,A6,,,1-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
212,Bethel Romy,32,A6,,,10-Feb,A,"[Softdrink,Beer]",False,True,True,False,False
446,Ty Jenessa,33,A6,,,21-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
258,Praise Karina,39,A6,,,4-Feb,A,[],False,False,False,False,False
123,Tad Kathryn,29,A6,,,22-Feb,A,[Beer],False,False,True,False,False
96,Debbi Carley,35,A6,,,20-Feb,A,"[Hotdog,Book,Beer]",False,False,True,True,True
186,Ty Jenessa,33,A6,,,7-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
514,Kortney Gord,20,A6,B,Warning,11-Feb,A,[Beer],True,False,True,False,False
210,Suz Sophie,27,A2,,,10-Feb,A,"[Softdrink,Beer]",False,True,True,False,False
440,Jeane Rosalie,32,A2,,,20-Feb,A,[],False,False,False,False,False
35,Mikayla Nevil,24,A2,,,23-Jan,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
69,Connie Nadia,32,A2,,,20-Jan,A,[],False,False,False,False,False
312,Sinclair Blythe,30,A2,,,9-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
256,Melville Brenden,37,A2,,,4-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
391,Carey Dakota,21,A2,,,16-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
403,Rodger Dorine,21,A2,,,17-Feb,A,"[Softdrink,Book]",False,True,False,False,True
366,Dennis Roseanne,38,A2,,,14-Feb,A,[Beer],False,False,True,False,False
46,Gertrude Jezza,20,A2,,,24-Jan,A,"[Softdrink,Hotdog]",False,True,False,True,False
445,Ibrahim Gerarda,29,A2,,,21-Feb,A,"[Softdrink,Book]",False,True,False,False,True
289,Humphrey Tamela,20,A2,,,7-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
378,Pece Ravi,30,A2,,,15-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
278,Dennis Roseanne,38,A2,,,6-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
272,Marcy Ruthie,21,A2,,,5-Feb,A,"[Hotdog,Book]",False,False,False,True,True
430,Tad Kathryn,29,A2,,,19-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
134,Tad Kathryn,29,A2,,,24-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
179,Moreen Caren,29,A2,,,23-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
0,Roseanne Winfield,23,A2,,,19-Jan,A,"[Softdrink,Hotdog]",False,True,False,True,False
197,Connie Nadia,32,A2,,,5-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
158,Gertrude Jezza,20,A2,,,11-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
122,Moreen Caren,29,A2,,,22-Feb,A,"[Softdrink,Beer]",False,True,True,False,False
221,Bethel Romy,32,A2,,,1-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
416,Humphrey Tamela,20,A2,,,18-Feb,A,[],False,False,False,False,False
340,Kade Fae,21,A2,,,12-Feb,A,[Hotdog],False,False,False,True,False
323,Praise Karina,39,A2,,,10-Feb,A,"[Softdrink,Book,Beer]",False,True,True,False,True
244,Debbi Carley,35,A2,,,3-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
146,Melville Brenden,37,A2,,,25-Feb,A,[Book],False,False,False,False,True
172,Mikayla Nevil,24,A2,,,23-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
24,Gertrude Jezza,20,A2,,,22-Jan,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
298,Mikayla Nevil,24,A2,,,8-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
11,Kristins Vin,26,A2,,,21-Jan,A,"[Softdrink,Book]",False,True,False,False,True
233,Pece Ravi,30,A2,,,2-Feb,A,[Hotdog],False,False,False,True,False
331,Debbi Carley,35,A2,,,11-Feb,A,"[Hotdog,Book,Beer]",False,False,True,True,True
185,Roseanne Winfield,23,A2,,,7-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
353,Byrne Oralie,18,A2,,,13-Feb,A,[Beer],False,False,True,False,False
111,Rebekah Sharlene,40,A2,,,21-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
455,Pece Ravi,30,A2,,,22-Feb,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
95,Justina Marisa,38,A2,,,20-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
56,Praise Karina,39,A2,,,25-Jan,A,"[Softdrink,Hotdog]",False,True,False,True,False
81,Alysa Sara,35,A2,,,19-Feb,A,[Book],False,False,False,False,True
204,Suz Sophie,27,A15,,,5-Feb,A,[Beer],False,False,True,False,False
357,Crew Susanna,20,A15,,,13-Feb,A,[Hotdog],False,False,False,True,False
227,Charis June,32,A15,,,1-Feb,A,"[Softdrink,Beer]",False,True,True,False,False
100,Gertrude Jezza,20,A15,,,20-Feb,A,"[Softdrink,Book]",False,True,False,False,True
84,Kristins Vin,26,A15,,,19-Feb,A,"[Hotdog,Book,Beer]",False,False,True,True,True
49,Rebekah Sharlene,40,A15,,,24-Jan,A,[Hotdog],False,False,False,True,False
433,Dennis Roseanne,38,A15,,,19-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
449,Sinclair Blythe,30,A15,,,21-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
345,Moreen Caren,29,A15,,,12-Feb,A,[Softdrink],False,True,False,False,False
72,Charis June,32,A15,,,20-Jan,A,"[Softdrink,Hotdog]",False,True,False,True,False
317,Jeane Rosalie,32,A15,,,9-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
281,Gertie Cierra,33,A15,,,6-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
18,Crew Susanna,20,A15,,,21-Jan,A,[Beer],False,False,True,False,False
409,Crew Susanna,20,A15,,,17-Feb,A,[Hotdog],False,False,False,True,False
247,Sinclair Blythe,30,A15,,,3-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
27,Kristins Vin,26,A15,,,22-Jan,A,[Softdrink],False,True,False,False,False
209,Ferdinand Dwain,34,A15,,,5-Feb,A,"[Book,Beer]",False,False,True,False,True
189,Rodger Dorine,21,A15,,,7-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
60,Suz Sophie,27,A15,,,25-Jan,A,"[Softdrink,Hotdog]",False,True,False,True,False
421,Melville Brenden,37,A15,,,18-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
